,Title,GPU,RAM,Processor,Monitor,System,Prices
1360,Dell Laptop Vostro 3500 (N3003VN3500EMEA01_2105) ,NVIDIA GeForce MX330,8 GB,Intel Core i5-1135G7,"15.6""",Windows 10 Pro,3449.0
1361,Dell Laptop Vostro 3500 (N3003VN3500EMEA01_2105) ,NVIDIA GeForce MX330,12 GB,Intel Core i5-1135G7,"15.6""",Windows 10 Pro,3499.0
1362,Dell Laptop Vostro 3500 (N3003VN3500EMEA01_2105) ,NVIDIA GeForce MX330,16 GB,Intel Core i5-1135G7,"15.6""",Windows 10 Pro,3749.0
1363,Dell Laptop Vostro 3500 (N3003VN3500EMEA01_2105) ,NVIDIA GeForce MX330,16 GB,Intel Core i5-1135G7,"15.6""",Windows 10 Pro,3599.0
1364,Dell Laptop Vostro 3500 (N3003VN3500EMEA01_2105) ,NVIDIA GeForce MX330,8 GB,Intel Core i5-1135G7,"15.6""",Windows 10 Pro,3899.0
1365,Dell Laptop Vostro 3500 (N3003VN3500EMEA01_2105) ,NVIDIA GeForce MX330,16 GB,Intel Core i5-1135G7,"15.6""",Windows 10 Pro,4429.9
1366,Dell Laptop Vostro 3500 (N3004VN3500EMEA01_2105) ,Brak,16 GB,Intel Core i5-1135G7,"15.6""",Windows 10 Pro,3499.0
1367,Dell Laptop Vostro 3500 (N3004VN3500EMEA01_2105) ,Brak,8 GB,Intel Core i5-1135G7,"15.6""",Windows 10 Pro,4149.0
1368,Dell Laptop Vostro 3500 (N3004VN3500EMEA01_2105) ,Brak,16 GB,Intel Core i5-1135G7,"15.6""",Windows 10 Pro,3899.0
1369,Dell Laptop Vostro 3500 (N3004VN3500EMEA01_2105) ,Brak,16 GB,Intel Core i5-1135G7,"15.6""",Windows 10 Pro,4399.0
1370,Dell Laptop Vostro 3500 (N3004VN3500EMEA01_2105) ,Brak,16 GB,Intel Core i5-1135G7,"15.6""",Windows 10 Pro,3649.0
1371,Dell Laptop Vostro 3500 (N3004VN3500EMEA01_2105) ,Brak,16 GB,Intel Core i5-1135G7,"15.6""",Windows 10 Pro,4399.0
1372,Dell Laptop Vostro 3500 (N3004VN3500EMEA01_2105) ,Brak,16 GB,Intel Core i5-1135G7,"15.6""",Windows 10 Pro,3899.0
1373,Dell Laptop Vostro 3500 (N3004VN3500EMEA01_2105) ,Brak,8 GB,Intel Core i5-1135G7,"15.6""",Windows 10 Pro,3699.0
1374,Dell Laptop Vostro 3500 (N3004VN3500EMEA01_2105) ,Brak,16 GB,Intel Core i5-1135G7,"15.6""",Windows 10 Pro,3649.0
1375,Dell Laptop Vostro 3500 (N3004VN3500EMEA01_2105) ,Brak,8 GB,Intel Core i5-1135G7,"15.6""",Windows 10 Pro,3699.0
1376,Dell Laptop Vostro 3500 (N3004VN3500EMEA01_2105) ,Brak,8 GB,Intel Core i5-1135G7,"15.6""",Windows 10 Pro,4149.0
1377,Dell Laptop Vostro 3500 (N3004VN3500EMEA01_2105) ,Brak,8 GB,Intel Core i5-1135G7,"15.6""",Windows 10 Pro,3449.0
